350,Thu Nov 20 10:23:28 2014,7.556,24.4,
351,Thu Nov 20 10:23:30 2014,7.556,24.4,
352,Thu Nov 20 10:23:31 2014,7.555,24.4,
353,Thu Nov 20 10:23:32 2014,7.555,24.3,
354,Thu Nov 20 10:23:34 2014,7.554,24.3,
355,Thu Nov 20 10:23:35 2014,7.554,24.4,
356,Thu Nov 20 10:23:36 2014,7.553,24.3,
357,Thu Nov 20 10:23:37 2014,7.553,24.3,
358,Thu Nov 20 10:23:39 2014,7.552,24.3,
359,Thu Nov 20 10:23:40 2014,7.552,24.3,
360,Thu Nov 20 10:23:41 2014,7.552,24.3,
361,Thu Nov 20 10:23:42 2014,7.551,24.3,
362,Thu Nov 20 10:23:44 2014,7.551,24.3,
363,Thu Nov 20 10:23:45 2014,7.55,24.3,
364,Thu Nov 20 10:23:46 2014,7.55,24.3,
365,Thu Nov 20 10:23:48 2014,7.549,24.3,
366,Thu Nov 20 10:23:49 2014,7.549,24.3,
367,Thu Nov 20 10:23:50 2014,7.549,24.3,
368,Thu Nov 20 10:23:51 2014,7.548,24.3,
369,Thu Nov 20 10:23:53 2014,7.548,24.3,
370,Thu Nov 20 10:23:54 2014,7.547,24.3,
371,Thu Nov 20 10:23:55 2014,7.547,24.3,
372,Thu Nov 20 10:23:57 2014,7.546,24.3,
373,Thu Nov 20 10:23:58 2014,7.546,24.3,
374,Thu Nov 20 10:23:59 2014,7.546,24.3,
375,Thu Nov 20 10:24:00 2014,7.545,24.3,
376,Thu Nov 20 10:24:02 2014,7.545,24.3,
377,Thu Nov 20 10:24:03 2014,7.544,24.3,
378,Thu Nov 20 10:24:04 2014,7.544,24.3,
379,Thu Nov 20 10:24:06 2014,7.543,24.3,
380,Thu Nov 20 10:24:07 2014,7.543,24.3,
381,Thu Nov 20 10:24:08 2014,7.543,24.3,
382,Thu Nov 20 10:24:09 2014,7.542,24.3,
383,Thu Nov 20 10:24:11 2014,7.542,24.3,
384,Thu Nov 20 10:24:12 2014,7.541,24.3,
385,Thu Nov 20 10:24:13 2014,7.541,24.3,
386,Thu Nov 20 10:24:15 2014,7.541,24.3,
387,Thu Nov 20 10:24:16 2014,7.54,24.3,
388,Thu Nov 20 10:24:17 2014,7.54,24.3,
389,Thu Nov 20 10:24:18 2014,7.539,24.3,
390,Thu Nov 20 10:24:20 2014,7.539,24.3,
391,Thu Nov 20 10:24:21 2014,7.539,24.3,
392,Thu Nov 20 10:24:22 2014,7.538,24.3,
393,Thu Nov 20 10:24:24 2014,7.538,24.3,
394,Thu Nov 20 10:24:25 2014,7.537,24.3,
395,Thu Nov 20 10:24:26 2014,7.537,24.3,
396,Thu Nov 20 10:24:28 2014,7.536,24.3,
397,Thu Nov 20 10:24:29 2014,7.536,24.3,
398,Thu Nov 20 10:24:30 2014,7.536,24.3,
399,Thu Nov 20 10:24:31 2014,7.535,24.3,
400,Thu Nov 20 10:24:33 2014,7.535,24.3,
401,Thu Nov 20 10:24:34 2014,7.534,24.3,
402,Thu Nov 20 10:24:35 2014,7.534,24.3,
403,Thu Nov 20 10:24:37 2014,7.533,24.3,
404,Thu Nov 20 10:24:38 2014,7.533,24.3,
405,Thu Nov 20 10:24:39 2014,7.533,24.3,
406,Thu Nov 20 10:24:40 2014,7.532,24.3,
407,Thu Nov 20 10:24:42 2014,7.532,24.3,
408,Thu Nov 20 10:24:43 2014,7.532,24.3,
409,Thu Nov 20 10:24:44 2014,7.531,24.3,
410,Thu Nov 20 10:24:45 2014,7.531,24.3,
411,Thu Nov 20 10:24:47 2014,7.53,24.3,
412,Thu Nov 20 10:24:48 2014,7.53,24.3,
413,Thu Nov 20 10:24:49 2014,7.53,24.3,
414,Thu Nov 20 10:24:51 2014,7.529,24.3,
415,Thu Nov 20 10:24:52 2014,7.529,24.3,
416,Thu Nov 20 10:24:53 2014,7.528,24.3,
417,Thu Nov 20 10:24:54 2014,7.528,24.3,
418,Thu Nov 20 10:24:56 2014,7.528,24.3,
419,Thu Nov 20 10:24:57 2014,7.527,24.3,
420,Thu Nov 20 10:24:58 2014,7.527,24.3,
421,Thu Nov 20 10:25:00 2014,7.526,24.3,
422,Thu Nov 20 10:25:01 2014,7.526,24.3,
423,Thu Nov 20 10:25:02 2014,7.526,24.3,
424,Thu Nov 20 10:25:03 2014,7.525,24.3,
425,Thu Nov 20 10:25:05 2014,7.525,24.3,
426,Thu Nov 20 10:25:06 2014,7.525,24.3,
427,Thu Nov 20 10:25:07 2014,7.524,24.3,
428,Thu Nov 20 10:25:09 2014,7.524,24.3,
429,Thu Nov 20 10:25:10 2014,7.523,24.3,
430,Thu Nov 20 10:25:11 2014,7.523,24.3,
431,Thu Nov 20 10:25:12 2014,7.523,24.3,
432,Thu Nov 20 10:25:14 2014,7.522,24.3,
433,Thu Nov 20 10:25:15 2014,7.522,24.3,
434,Thu Nov 20 10:25:16 2014,7.521,24.3,
435,Thu Nov 20 10:25:18 2014,7.521,24.3,
436,Thu Nov 20 10:25:19 2014,7.52,24.3,
437,Thu Nov 20 10:25:20 2014,7.52,24.3,
438,Thu Nov 20 10:25:21 2014,7.52,24.3,
439,Thu Nov 20 10:25:23 2014,7.52,24.3,
440,Thu Nov 20 10:25:24 2014,7.519,24.3,
441,Thu Nov 20 10:25:25 2014,7.519,24.3,
442,Thu Nov 20 10:25:27 2014,7.518,24.3,
443,Thu Nov 20 10:25:28 2014,7.518,24.3,
444,Thu Nov 20 10:25:29 2014,7.518,24.2,
445,Thu Nov 20 10:25:31 2014,7.517,24.2,
446,Thu Nov 20 10:25:32 2014,7.517,24.2,
447,Thu Nov 20 10:25:33 2014,7.516,24.2,
448,Thu Nov 20 10:25:34 2014,7.516,24.2,
449,Thu Nov 20 10:25:36 2014,7.516,24.2,
450,Thu Nov 20 10:25:37 2014,7.515,24.2,
451,Thu Nov 20 10:25:38 2014,7.515,24.2,
452,Thu Nov 20 10:25:40 2014,7.514,24.2,
453,Thu Nov 20 10:25:41 2014,7.514,24.2,
454,Thu Nov 20 10:25:42 2014,7.514,24.2,
455,Thu Nov 20 10:25:44 2014,7.513,24.2,
456,Thu Nov 20 10:25:45 2014,7.513,24.2,
457,Thu Nov 20 10:25:46 2014,7.513,24.2,
458,Thu Nov 20 10:25:47 2014,7.512,24.2,
459,Thu Nov 20 10:25:49 2014,7.512,24.2,
460,Thu Nov 20 10:25:50 2014,7.511,24.2,
461,Thu Nov 20 10:25:51 2014,7.511,24.2,
462,Thu Nov 20 10:25:52 2014,7.511,24.2,
463,Thu Nov 20 10:25:54 2014,7.51,24.2,
464,Thu Nov 20 10:25:55 2014,7.51,24.2,
465,Thu Nov 20 10:25:56 2014,7.51,24.2,
466,Thu Nov 20 10:25:58 2014,7.509,24.2,
467,Thu Nov 20 10:25:59 2014,7.509,24.2,
468,Thu Nov 20 10:26:00 2014,7.509,24.2,
469,Thu Nov 20 10:26:02 2014,7.508,24.2,
470,Thu Nov 20 10:26:03 2014,7.508,24.2,
471,Thu Nov 20 10:26:04 2014,7.508,24.2,
472,Thu Nov 20 10:26:05 2014,7.507,24.2,
473,Thu Nov 20 10:26:07 2014,7.507,24.2,
474,Thu Nov 20 10:26:08 2014,7.507,24.2,
475,Thu Nov 20 10:26:09 2014,7.506,24.2,
476,Thu Nov 20 10:26:10 2014,7.506,24.2,
477,Thu Nov 20 10:26:12 2014,7.506,24.2,
478,Thu Nov 20 10:26:13 2014,7.505,24.2,
479,Thu Nov 20 10:26:14 2014,7.505,24.2,
480,Thu Nov 20 10:26:16 2014,7.504,24.2,
481,Thu Nov 20 10:26:17 2014,7.504,24.2,
